layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_dataset,right_dataset,left_domain,right_domain
0,0,0,178,34.62358856201172,1.0,5.884178161621094,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,77,38,78,39,25,25,33083,35,:,:,Lu,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,1,1,178,-0.014456961303949356,-0.00028247502632439137,8.697834968566895,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,78,38,79,39,33083,25,23226,35,Lu,:,igi,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,2,2,178,0.26825329661369324,0.004842578899115324,9.414180755615234,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,79,38,80,39,23226,25,35487,35,igi,:,Gi,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,3,3,178,1.4685269594192505,0.027835160493850708,8.96607494354248,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,80,38,81,39,35487,25,332,35,Gi,:,ur,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,4,4,178,0.4191173315048218,0.009144853800535202,7.788845062255859,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,81,38,82,39,332,25,2268,35,ur,:,aw,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,5,5,178,-0.03554908186197281,-0.0006688135326839983,9.033114433288574,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,82,38,83,39,2268,25,281,35,aw,:,as,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,6,6,178,2.6039156913757324,0.06911326199769974,6.402944087982178,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,83,38,84,39,281,25,54567,35,as,:,anan,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,7,7,178,1.0826921463012695,0.02025807462632656,9.082825660705566,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,84,38,85,39,54567,25,62548,35,anan,:,Italian,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,8,8,178,0.6636679172515869,0.014471649192273617,7.793759346008301,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,85,38,86,39,62548,25,16268,35,Italian,:,engine,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,9,9,178,0.8600297570228577,0.01618143729865551,9.032553672790527,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,86,38,87,39,16268,25,250,35,engine,:,er,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,10,10,178,1.0919684171676636,0.030269550159573555,6.1308159828186035,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,87,38,88,39,250,25,384,35,er,:,and,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,11,11,178,1.3276851177215576,0.032637421041727066,6.913427352905273,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,88,38,89,39,384,25,88559,35,and,:,architect,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,12,12,178,-0.0855455994606018,-0.0020388143602758646,7.130733013153076,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,89,38,90,39,88559,25,271,35,architect,:,ed,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,13,13,178,2.1614456176757812,0.07262486964464188,5.057933807373047,5.884178161621094,raw,0,1,dolly:13835,mmlu:computer_security_34,0,0,90,38,91,39,271,25,1961,35,ed,:,wh,D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
